,sentence,option1,option2,qID
178,"Kenny wanted to marry Paulie in the cathedral but Paulie was scared of large places, so their marriage ceremony took place in a cave instead since the _ was small.",cathedral,cave,37PGLWGSJT4J1QRLRDAA7VNINIGIKJ-2
181,The flower placed on the window had started to block the sun ray because the _ is small.,flower,window,3TZDZ3Y0JUK3EDB3Z7AFHLGPLMV19T-2
182,The flower placed on the window had started to block the sun ray because the _ is big.,flower,window,3TZDZ3Y0JUK3EDB3Z7AFHLGPLMV19T-1
185,The tree in Monicas yard was a lot bigger than that of Lindsey because _ had an older tree.,Monica,Lindsey,31ANT7FQN80GNCVYE8OJ5U3LQH5H57-1
186,The tree in Monicas yard was a lot smaller than that of Lindsey because _ had an older tree.,Monica,Lindsey,31ANT7FQN80GNCVYE8OJ5U3LQH5H57-2
187,"Katrina is being bullied and asks Patricia for her protection, because _ is thin and small.",Katrina,Patricia,3NOEP8XAU6GWW1C3NPRJYKK4T09PX7-1
188,Rose was looking for a useful stocking stuffer so she picked a small book rather than a wallet because the _ was somewhat educational.,book,wallet,391JB9X4ZY65X9HCCS82ZOUZ4R0KM1-1
189,Rose was looking for a useful stocking stuffer so she picked a small book rather than a wallet because the _ was not educational.,book,wallet,391JB9X4ZY65X9HCCS82ZOUZ4R0KM1-2
192,"At art class in school, Craig asked William for glue because the glue _ had was full.",Craig,William,3IV1AEQ4DRBV109Q06Y7TRTR50UJ82-2
193,"At art class in school, Craig asked William for glue because the glue _ had was empty.",Craig,William,3IV1AEQ4DRBV109Q06Y7TRTR50UJ82-1
194,"Cynthia skipped breakfast but Angela ate a large morning meal, so _ was starving by lunchtime.",Cynthia,Angela,3VQTAXTYN3JNHEIRFHMVRVS3UM1BUD-1
195,"Cynthia skipped breakfast but Angela ate a large morning meal, so _ was still full by lunchtime.",Cynthia,Angela,3VQTAXTYN3JNHEIRFHMVRVS3UM1BUD-2
196,Kayla was the owner of a small business but Samantha was not so _ was able to apply for a job at the business.,Kayla,Samantha,37J05LC5AXH7IV5HHE9NFJ7SB77DJ9-2
197,Kayla was the owner of a small business but Samantha was not so _ was able to hire for a job at the business.,Kayla,Samantha,37J05LC5AXH7IV5HHE9NFJ7SB77DJ9-1
199,Jill couldn't fix her hair up properly. The bobble would not go round the ponytail because the _ was too small.,bobble,ponytail,3S1WOPCJFI7R4QIOX7W7DZDL4U1EJU-1
200,"They wanted more satiation at the wedding, so the planners used icing rather than fruit on the cake as the _ was more empty.",icing,fruit,3JYPJ2TAYKMFWFLINVLXSDKYQZIPFW-2
203,Mary had an easier time cleaning LEGOs than Patricia because _  didn't enjoy cleaning small pieces.,Mary,Patricia,3S4TINXCC0LS49YUJVAMSP0E7LSOBT-2
204,Mary had an easier time cleaning LEGOs than Patricia because _ enjoyed cleaning small pieces.,Mary,Patricia,3S4TINXCC0LS49YUJVAMSP0E7LSOBT-1
207,Victoria needed to prepare Samantha for the big news but _ couldn't be found outside.,Victoria,Samantha,3VQTAXTYN5Z2B3HYZFYVJTGBIOQBUD-2
208,Victoria needed to prepare Samantha for the big news but _ forgot what it was.,Victoria,Samantha,3VQTAXTYN5Z2B3HYZFYVJTGBIOQBUD-1
216,"The man added water to the car, but didn't need to add any oil, because the _ reservoir was full.",water,oil,31YWE12TE2Q7QV83R3X2YYTKVCMX77-2
219,James finished washing with the sponge and had to stuff it in its case because the _ is big.,sponge,case,3LOJFQ4BOZTHN4A6JXLZ8WVEKCXKDG-1
220,James finished washing with the sponge and had to stuff it in its case because the _ is small.,sponge,case,3LOJFQ4BOZTHN4A6JXLZ8WVEKCXKDG-2
221,Brian rested on the large bed as Kevin studied because _ was very behind in school.,Brian,Kevin,3UDTAB6HH6XODZREJQUFBI96LIB90G-2
222,Brian rested on the large bed as Kevin studied because _ was very tired from work.,Brian,Kevin,3UDTAB6HH6XODZREJQUFBI96LIB90G-1
223,The girl poured the powdered milk from the box into the glass of water.  The _ was wet.,water,milk,3NSCTNUR211G7EMRS0QRG64Q3LJA52-1
224,The girl poured the powdered milk from the box into the glass of water. The _ was dry.,water,milk,3NSCTNUR211G7EMRS0QRG64Q3LJA52-2
226,"Michael needed Craig to carry the basket the rest of the way home, since _ was physically fit.",Michael,Craig,3BA7SXOG1L4RTDRAS9JGNG3R5JSR8L-2
229,Lindsey gained a little weight so she gave Rebecca a few tank tops because they fit _ poorly.,Lindsey,Rebecca,3LEG2HW4UH1J48KCLXALW0C5GVQ2FZ-1
230,Lindsey gained a little weight so she gave  Rebecca a few tank tops and they fit _ well.,Lindsey,Rebecca,3LEG2HW4UH1J48KCLXALW0C5GVQ2FZ-2
231,Benjamin made a cup of rosehip tea for Donald even though _ knew they preferred green tea.,Benjamin,Donald,3WA2XVDZEMF0M64ATQQICXK8UXKE62-1
232,Benjamin made a cup of rosehip tea for Donald even though they knew _ preferred green tea.,Benjamin,Donald,3WA2XVDZEMF0M64ATQQICXK8UXKE62-2
235,James was able to get more slices from the cakes than expected. The _ are small.,slices,cakes,3WRAAIUSBLDP9X61Y69M8PVAWI7AXM-1
236,James was able to get more slices from the cakes than expected. The _ are big.,slices,cakes,3WRAAIUSBLDP9X61Y69M8PVAWI7AXM-2
237,I tried to clean the pipe with the brush but I couldn't because the _ was too small.,pipe,brush,35JDMRECC6NHDOSNP1B4GML6DUYGET-1
238,I tried to clean the pipe with the brush but I couldn't because the _ was too big.,pipe,brush,35JDMRECC6NHDOSNP1B4GML6DUYGET-2
239,"I used an ax to chop down a tree, but had to get a bigger ax because the _ was too thick.",ax,tree,374UMBUHN5NRR6V8TCSGXJCJTQVTC6-2
240,"I used an ax to chop down a tree, but had to get a bigger ax because the _ was too small.",ax,tree,374UMBUHN5NRR6V8TCSGXJCJTQVTC6-1
241,"Mary purchased new swimwear for her daughter, but did not need to buy shorts, because her daughter still fit in the _ .",swimwear,shorts,3S829FDFT4FN749DIG0OYQ3GHQ5DX2-2
242,"The brush Laura gave to Jessica was a family heirloom, so _ put it in a shadow box.",Laura,Jessica,3DQYSJDTYNPSZANDEBB848L1GUFXE7-2
243,"The brush Laura accepted from Jessica was a family heirloom, so _ put it in a shadow box.",Laura,Jessica,3DQYSJDTYNPSZANDEBB848L1GUFXE7-1
244,"Jeffrey's house was on fire and Lawrence put it out, later _ brought him a large gift as thanks.",Jeffrey,Lawrence,3VCK0Q0PO5C921V8K0DKTJ4QQ4VN0Q-1
245,"Jeffrey's house was on fire and Lawrence put it out, later _ received a large gift as thanks.",Jeffrey,Lawrence,3VCK0Q0PO5C921V8K0DKTJ4QQ4VN0Q-2
255,Joey bought some caramel glazing to use for bread decoration but the _ was too big.,bread,glazing,3ZVPAMTJWPH6MSXSB7V4FTKPS0CRG3-1
256,"The dog was able to drink easily from the bowl, but not the pan, because the _ was short.",bowl,pan,3D42WVSDHA995TDJEIHG54DAV60FY0-1
257,"The dog was able to drink easily from the bowl, but not the pan, because the _ was tall.",bowl,pan,3D42WVSDHA995TDJEIHG54DAV60FY0-2
258,"Carrie persuaded Victoria to go into the pig pen and bring out a bowl, because _ was brave around animals.",Carrie,Victoria,3FBEFUUYRMJCQIM5XJ0W8CIPXKN6AB-2
259,"Carrie persuaded Victoria to go into the pig pen and bring out a bowl, because _ was cowardly around animals.",Carrie,Victoria,3FBEFUUYRMJCQIM5XJ0W8CIPXKN6AB-1
260,The turtle saw a race and a piece of lettuce. He chose the _ because he was full.,race,piece of lettuce,3OYHVNTV5TWTXC2OP8NFRSJ4ZSLKOO-1
261,"Shawn bought a guitar that came with a case and an extra string, but the _ was too big for the car.",string,case,3XU9MCX6VQQG7YPLCSAFDPQOIFS2RC-2
264,"The scarf Bob's mother made for him would not fit around his neck, the _ was too large.",scarf,neck,3I01FDIL6M67CZ79AT3VG2LBEDM2DF-2
265,"The scarf Bob's mother made for him would not fit around his neck, the _ was too small.",scarf,neck,3I01FDIL6M67CZ79AT3VG2LBEDM2DF-1
266,Brian's hair always got big when it was humid. Dennis bought a dehumidifier to help. _ was grateful for the gesture.,Brian,Dennis,3HY86PZXP0WK992K7IQ19ZHZAES1E6-1
267,Brian's hair always got big when it was humid. Dennis bought a dehumidifier to help. _ was proud of the gesture.,Brian,Dennis,3HY86PZXP0WK992K7IQ19ZHZAES1E6-2
268,Scott saw his company's profit sheet and asked for a raise. It was denied because the _ was too big.,raise,profit,3NSCTNUR2ZL1DPNK82ERO8GHDIKA5M-1
269,Scott saw his company's profit sheet and asked for a raise. It was denied because the _ was too small.,raise,profit,3NSCTNUR2ZL1DPNK82ERO8GHDIKA5M-2
270,"Paul served the chocolate milk in a glass instead of the plastic cup, because the _ was unbroken.",cup,glass,3OJX0UFJ0Z54TL3UHX8Z0PXD6JI9UF-2
271,"Paul served the chocolate milk in a glass instead of the plastic cup, because the _ was cracked.",cup,glass,3OJX0UFJ0Z54TL3UHX8Z0PXD6JI9UF-1
272,The water spilling out of the pot put out the fire on the stove. The _ is plentiful.,water,fire,3OJX0UFJ01LJNA211VKZSNLLU8ZU92-1
273,The water spilling out of the pot put out the fire on the stove. The _ is weak.,water,fire,3OJX0UFJ01LJNA211VKZSNLLU8ZU92-2
276,"Mike dumped the juice out of the baby bottle and filled it with milk, because the _ was fresher.",juice,milk,3E9VAUV7BWCZFDX4J4JOZ5EA8R2YAC-2
277,"Mike dumped the juice out of the baby bottle and filled it with milk, because the _ was older.",juice,milk,3E9VAUV7BWCZFDX4J4JOZ5EA8R2YAC-1
280,At dinner Felicia decided to pay for Elena's meal because _ had received a large bonus today.,Felicia,Elena,3D06DR5227XEFL7XKZ7DX8FBNABAME-1
281,At dinner Felicia decided to pay for Elena's meal because _ had received a large bill today.,Felicia,Elena,3D06DR5227XEFL7XKZ7DX8FBNABAME-2
282,The remaining ball of thread could crochet more sweater for the kids because the _ is small.,sweater,ball,3VP28W7DUPY9AJNOA4JZJBMBZKEZFL-1
283,The remaining ball of thread could crochet more sweater for the kids because the _ is big.,sweater,ball,3VP28W7DUPY9AJNOA4JZJBMBZKEZFL-2
284,"The animals had lumps that were more dangerous than the zits, since the _ were smaller.",lumps,zits,3HFWPF5AKBXHTVLHVHOPM90CBXMS3H-2
285,"The animals had lumps that were more dangerous than the zits, since the _ were larger.",lumps,zits,3HFWPF5AKBXHTVLHVHOPM90CBXMS3H-1
286,Kevin hated sweets but Kyle loved them which made _ ecstatic to receive a large birthday cake.,Kevin,Kyle,35F6NGNVMAX09EZJMTW59V8DGA17TL-2
287,Kevin hated sweets but Kyle loved them which made _ irritated to receive a large birthday cake.,Kevin,Kyle,35F6NGNVMAX09EZJMTW59V8DGA17TL-1
288,"Jessica went prospecting and found some gold ore, while Angela went prospecting and found iron ore. _ was able to cash out with big money.",Jessica,Angela,3P888QFVX58U24ZQMBJCFCJLMSPOQR-1
293,There are much salt left in the jar after some have been poured into the cup. The _ is way bigger.,jar,cup,3L2OEKSTWBO0QE3W64BAVCWO81LY8Y-1
294,There are much salt left in the jar after some have been poured into the cup. The _ is way smaller.,jar,cup,3L2OEKSTWBO0QE3W64BAVCWO81LY8Y-2
295,The clothes of Kyle look more shabby than Donald's because _ has a larger salary to buy clothes with.,Kyle,Donald,3VI0PC2ZAYIZHC1VOR24HMR6QKROX5-2
296,The clothes of Kyle look more expensive than Donald's because _ has a larger salary to buy clothes with.,Kyle,Donald,3VI0PC2ZAYIZHC1VOR24HMR6QKROX5-1
297,"The table was located strategically under the large wall, so the _ would throw its shade.",table,wall,32CXT5U14IHJ95JRW3ELSRQAA718UL-2
298,"The table was located strategically under the large wall, so the _ would receive its shade.",table,wall,32CXT5U14IHJ95JRW3ELSRQAA718UL-1
303,The car held less liters in the tank than the truck because the _ was bigger.,truck,car,3I7KR83SNCR5KEXP7HGXM0CNSH1K9V-1
304,The car held less liters in the tank than the truck because the _ was smaller.,truck,car,3I7KR83SNCR5KEXP7HGXM0CNSH1K9V-2
307,"The cashier moved the money out of the bag and into the drawer, as the _ was vulnerable to theft.",bag,drawer,39WICJI5AV6EU77VQ9IXI2XFX8L3ZN-1
308,"The cashier moved the money out of the bag and into the drawer, as the _ was secure from theft.",bag,drawer,39WICJI5AV6EU77VQ9IXI2XFX8L3ZN-2
314,"Justin played in emo band Texas is the Reason, of which Dennis was a big fan, so _ asked him for an autograph.",Justin,Dennis,3UL5XDRDNCHNU1U5B4UDSHAMIIE85H-2
