,sentence,option1,option2,qID
227,"The mover was successful getting the dresser out of the house, but not the desk, because the _ was big.",dresser,desk,3XAOZ9UYR1596CSPG9L13G6EVN01QI-2
228,"The mover was successful getting the dresser out of the house, but not the desk, because the _ was small.",dresser,desk,3XAOZ9UYR1596CSPG9L13G6EVN01QI-1
233,Jill poured the entire bag of flour into the mixing bowl until the _ was full.,bag,bowl,3126F2F5F818WCMF8MPRIXBPPZFEP7-2
234,Jill poured the entire bag of flour into the mixing bowl until the _ was empty.,bag,bowl,3126F2F5F818WCMF8MPRIXBPPZFEP7-1
246,The dog was crying with the collar hurting its neck because the _ is small.,neck,collar,34OWYT6U3YVEEJ717EVL9KXB1RZ9IR-2
247,The dog was crying with the collar hurting its neck because the _ is big.,neck,collar,34OWYT6U3YVEEJ717EVL9KXB1RZ9IR-1
248,The bucket was a better choice than the cup to carry water because the _ held less.,bucket,cup,37VHPF5VYC18TM3KQEHL6NGWFE8C80-2
249,The bucket was a better choice than the cup to carry water because the _ held more.,bucket,cup,37VHPF5VYC18TM3KQEHL6NGWFE8C80-1
250,"I put the flowers in vases on the table, but they fell over. The _ were too small.",vases,flowers,3P6ENY9P7BA7TPPK5QJDM1VZL2FIHV-1
251,"I put the flowers in vases on the table, but they fell over. The _ were too big.",vases,flowers,3P6ENY9P7BA7TPPK5QJDM1VZL2FIHV-2
252,Mr. Farmer's son noticed a hole in the wooden fence so he tried hitting a golf ball through it; he didn't realize that the _ was too large.,ball,hole,3BO3NEOQM0FDPDIZFMXLDHKMI6MAIW-1
253,"John's new chest he purchased for himself would not fit through his front doorway, the _ was too large.",chest,doorway,3KWGG5KP6J0NEB5OKFR4B5HRZHVCMI-1
254,"John's new chest he purchased for himself would not fit through his front doorway, the _ was too small.",chest,doorway,3KWGG5KP6J0NEB5OKFR4B5HRZHVCMI-2
262,The little boy tried to store his pet gecko in the cage but the _ was too large.,gecko,cage,3OB6JN3A9QNRKDU72CHZ00GDZH2MR0-1
263,The little boy tried to store his pet gecko in the cage but the _ was too small.,gecko,cage,3OB6JN3A9QNRKDU72CHZ00GDZH2MR0-2
274,Julie emptied the water bottle into the cup on her desk until the _ was full.,bottle,cup,3FHTJGYT8NY6GQI6EHFFI0W12EYPG1-2
275,Julie emptied the water bottle into the cup on her desk until the _ was empty.,bottle,cup,3FHTJGYT8NY6GQI6EHFFI0W12EYPG1-1
278,"David finished his pasta while Mark couldn't finish his lasagna, because the _ portion was smaller.",pasta,lasagna,3S829FDFT4FN749DIG0OYQ3GGAWDXW-1
279,"David finished his pasta while Mark couldn't finish his lasagna, because the _ portion was larger.",pasta,lasagna,3S829FDFT4FN749DIG0OYQ3GGAWDXW-2
289,More cups are needed in order to empty the vodka in the bottles. The _ are small.,cups,bottles,3HFWPF5AKBXHTVLHVHOPM90CBUXS3M-1
290,More cups are needed in order to empty the vodka in the bottles. The _ are big.,cups,bottles,3HFWPF5AKBXHTVLHVHOPM90CBUXS3M-2
291,James realized he could eat more of the apple unlike the banana because the _ is small.,apple,banana,307FVKVSYTTGSTKT7SVX1NWM1JA47V-1
292,James realized he could eat more of the apple unlike the banana because the _ is large.,apple,banana,307FVKVSYTTGSTKT7SVX1NWM1JA47V-2
299,Jane had the glove slide down her hand too easily because the _ is too small.,glove,hand,386T3MLZLP93TJ7BYW013K24VNU80S-2
300,Jane had the glove slide down her hand too easily because the _ is too big.,glove,hand,386T3MLZLP93TJ7BYW013K24VNU80S-1
301,James realized he can put more jeans in the box than jacket. The _ is smaller.,jeans,jacket,3UZUVSO3P99H5YO9049ZTR539XZEMM-1
302,James realized he can put more jeans in the box than jacket. The _ is bigger.,jeans,jacket,3UZUVSO3P99H5YO9049ZTR539XZEMM-2
305,Adam got full when eating dinner with Leslie on Sundays because _ had a very small stomach.,Adam,Leslie,37G6BXQPLQJTWONU8Z4GI21ZUYWEQZ-1
306,Adam got full when eating dinner with Leslie on Sundays because _ had a very large stomach.,Adam,Leslie,37G6BXQPLQJTWONU8Z4GI21ZUYWEQZ-2
309,The traveler tried to store his passport in his pocket but the _ was too small.,passport,pocket,31MBOZ6PAOP38TN3K3QPBS22ZB9CLI-2
310,The traveler tried to store his passport in his pocket but the _ was too large.,passport,pocket,31MBOZ6PAOP38TN3K3QPBS22ZB9CLI-1
311,"I had smaller tubes and tried to fit the maps in there, but they didn't fit because the _ were too short.",tubes,maps,3X52SWXE0X3JJNZ2OHXRK3JIXK5CW7-1
312,"I had smaller tubes and tried to fit the maps in there, but they didn't fit because the _ were too long.",tubes,maps,3X52SWXE0X3JJNZ2OHXRK3JIXK5CW7-2
313,"Jeremy went to put the fishing line thread through the hook, but struggled with it because the _ was small.",thread,hook,33N1S8XHHOZIK4TG354EU9IHYJA1ZJ-2
320,The reason that Jason ate quickly while William did not eat another bite was because _ was full.,Jason,William,304QEQWKZPIRKMVKLFDX884VGHVO07-2
321,Nick decided to share their cheesecake with Lawrence during school lunch because _ was quite full already.,Nick,Lawrence,3087LXLJ6MEXE9IRMCU7LEVHOEGF0K-1
322,The sac has more space for one more basketball. The _ is a small one.,sac,basketball,3W3RSPVVGU5EOC3AQSNPXWCHWCPLUN-2
323,The sac has more space for one more basketball. The _ is a big one.,sac,basketball,3W3RSPVVGU5EOC3AQSNPXWCHWCPLUN-1
326,It appears more jars can easily fit into the bags if attempted. He never know the _ are that small.,jars,bags,368IUKXGA7MJDMS7M2ITY77LY086P4-1
327,It appears more jars can easily fit into the bags if attempted. He never know the _ are that big.,jars,bags,368IUKXGA7MJDMS7M2ITY77LY086P4-2
328,My neighbor's brand new car would not fit in his garage because the _ was too long.,garage,car,34HEO7RUG885C1KPP73UJ79LTRDRAA-2
329,My neighbor's brand new car would not fit in his garage because the _ was too cluttered.,garage,car,34HEO7RUG885C1KPP73UJ79LTRDRAA-1
331,"He tried to put his portfolio in the folder, but the _ was too small.",portfolio,folder,3ZTE0JGGCEQBEEQ0XV6H396WUJSCOJ-2
332,"He tried to put his portfolio in the folder, but the _ was too large.",portfolio,folder,3ZTE0JGGCEQBEEQ0XV6H396WUJSCOJ-1
333,The blue towel cannot be wrapped around the tree. The _ is a big one.,tree,towel,3R16PJFTS554N8RDQMK65S1873AK4H-1
334,The blue towel cannot be wrapped around the tree. The _ is a small one.,tree,towel,3R16PJFTS554N8RDQMK65S1873AK4H-2
335,The bartender poured the contents of the bottle into the glass because the _ was empty.,bottle,glass,3R6RZGK0XFAJ7102UZAKVSSNTZTYVZ-2
336,The bartender poured the contents of the bottle into the glass because the _ was full.,bottle,glass,3R6RZGK0XFAJ7102UZAKVSSNTZTYVZ-1
337,The expensive mandolin would not fit inside the case because the _ was too big.,case,mandolin,3T2EL38U0OYHWDDIN268YPAEYMPXQG-2
338,The expensive mandolin would not fit inside the case because the _ was too small.,case,mandolin,3T2EL38U0OYHWDDIN268YPAEYMPXQG-1
339,I filled my fountain pen with ink from a bottle until the _ was empty.,bottle,pen,3N7PQ0KLI73GJCGZUM4KXSWX9423EB-1
340,I filled my fountain pen with ink from a bottle until the _ was full.,bottle,pen,3N7PQ0KLI73GJCGZUM4KXSWX9423EB-2
341,The man brought the sofa back to the store but kept the chair after seeing that the _ didn't fit in his home.,sofa,chair,3J9UN9O9J56SD03UP0XSSABIB0E0JY-1
352,John had to return the chair he bought for his new office as it could not get into it because the _ is small.,office,chair,3XH7ZM9YX48R7IAKX1PUNCY2PKOR9E-1
353,John had to return the chair he bought for his new office as it could not get into it because the _ is big.,office,chair,3XH7ZM9YX48R7IAKX1PUNCY2PKOR9E-2
354,"Jan wanted to prune her red current bushes, but her pruner would not fit through the brush. The _ was too narrow.",brush,pruner,3HFWPF5AK9H2Z6MABJCPUBC3LU4S3I-1
355,"Jan wanted to prune her red current bushes, but her pruner would not fit through the brush. The _ was too wide.",brush,pruner,3HFWPF5AK9H2Z6MABJCPUBC3LU4S3I-2
356,"The new notebook Jill purchased would not fit in her new backpack, the _ was too small.",notebook,backpack,3T6SSHJUZF8SVV1XRAPYUF85VDVIIA-2
357,"The new notebook Jill purchased would not fit in her new backpack, the _ was too large.",notebook,backpack,3T6SSHJUZF8SVV1XRAPYUF85VDVIIA-1
360,The cotton bud could not get into the ear of the hamster because the _ is large.,bud,ear,3ZQA3IO31D56L0F91WTXEBBDE6T1OL-1
365,He went to put his hands inside the mittens to keep warm but the _ were too small for them.,hands,mittens,3D1UCPY6GINZAB68HJIK5I0BYMW38A-2
366,He went to put his hands inside the mittens to keep warm but the _ were too big for them.,hands,mittens,3D1UCPY6GINZAB68HJIK5I0BYMW38A-1
371,The activities that he had planned out could not fit into the schedules because the _ were long.,activities,schedules,3SR6AEG6W5REP05IPATGGR1ELIIHYO-1
372,The activities that he had planned out could not fit into the schedules because the _ were full.,activities,schedules,3SR6AEG6W5REP05IPATGGR1ELIIHYO-2
373,Jojo planted a rose in the pot on the table but the _ was too tiny.,pot,rose,375VSR8FVYN6D9SX1ZJT000V3OQZRG-1
374,Jojo planted a rose in the pot on the table but the _ was too large.,pot,rose,375VSR8FVYN6D9SX1ZJT000V3OQZRG-2
378,Jane dropped her crystal in a bottle and closed it. It was amazing the _ was big enough.,bottle,crystal,3THR0FZ95R7JB7JDU6BGYQKRCGSLOD-1
379,Jane dropped her crystal in a bottle and closed it. It was amazing the _ was small enough.,bottle,crystal,3THR0FZ95R7JB7JDU6BGYQKRCGSLOD-2
384,James tried to arrange the paper in the file but the file tore because the _ is too small.,paper,file,3N7PQ0KLI73GJCGZUM4KXSWX96I3EV-2
392,"I couldn't use the new pan to cook the steak, because the _ was too shallow.",pan,steak,3D0LPO3EADD3B6QCDL06SYMON9EOYM-1
393,"I couldn't use the new pan to cook the steak, because the _ was too wide.",pan,steak,3D0LPO3EADD3B6QCDL06SYMON9EOYM-2
396,The box was still visible after James tried his best to manage the wrapper on it. James should have used the _ that is big.,wrapper,box,3EKZL9T8YA0GGM3KDGNRBYX36L0CH0-1
397,The box was still visible after James tried his best to manage the wrapper on it. James should have used the _ that is small.,wrapper,box,3EKZL9T8YA0GGM3KDGNRBYX36L0CH0-2
400,I bought Mike new knee socks but they were too tight on his calves. The _ were too large.,socks,calves,3MJ28H2Y1E6QFTHLILJ9P30M21SO57-2
401,I bought Mike new knee socks but they were too tight on his calves. The _ were too small.,socks,calves,3MJ28H2Y1E6QFTHLILJ9P30M21SO57-1
402,The musician tried to put the guitar in the case but it wouldn't fit because the _ was too short.,case,guitar,33K3E8REWWTWWKEFHAD8K016GVH8XH-1
403,The musician tried to put the guitar in the case but it wouldn't fit because the _ was too long..,case,guitar,33K3E8REWWTWWKEFHAD8K016GVH8XH-2
410,The new deck wouldn't fit behind the house because the _ was just not long enough.,deck,house,3FO95NVK5CYUI87CM9DLC9FJR9ISRM-1
411,The new deck wouldn't fit behind the house because the _ was just too long.,deck,house,3FO95NVK5CYUI87CM9DLC9FJR9ISRM-2
418,John poured some water from the bottle to the bowl and there  still enough space in the bowl. The _  large.,bowl,bottle,39XCQ6V3K0IFKCAO2N9F012464L653-1
419,John poured some water from the bottle to the bowl and there  still enough space in the bowl. The _  small.,bowl,bottle,39XCQ6V3K0IFKCAO2N9F012464L653-2
