qID,phrase,option1,option2,answer,label
3L60IFZKF5W7XUE0Z81SMPUJJJGHH1-1,Jessica was fatter than Rebecca because _ ate chocolate almost every day as a snack.,Jessica,Rebecca,1,-1
3J5XXLQDHOPXLN2LPCTUXWKI8TVV3K-1,Tanya couldn't stretch as far down as Jennifer because _ was had a very rigid body.,Tanya,Jennifer,1,-1
39RRBHZ0AWFY6G9EAJO31XPYOWJZVT-1,More birds were in the garden than in the park because the _ had fresh fruit.,garden,park,1,-1
3OREP8RUT294CWHWVCXENGRCLDYGBS-1,I added spices to my cooking like salt and pepper.  The _ makes the food taste salty.,salt,pepper,1,-1
38DCH97KHJGG1T8T6YR77G2ZNUIJQY-1,Michael bought mealworms as pet food but not Kenneth because _ had a lizard as a pet.,Michael,Kenneth,1,-1
3K8CQCU3KEZ2ARWTD7650EDUR71WNO-1,"Eating sweets was a big problem for Carrie but not for Rebecca, thats why _ has a large waistline.",Carrie,Rebecca,1,-1
3DWGDA5POF2MHVPZIA3BH5HDMDGV1S-1,The chef tried to put the banana in the cake but the _ was too small.,cake,banana,1,-1
3ZXNP4Z39RJXWCS7TMIEV6AOTL97LC-1,Michael discovered Craig was a respected doctor so _ asked him many health related questions.,Michael,Craig,1,-1
30Y6N4AHYPUOGJOUPJIWHATJQ5TDRW-1,The horse prefers the pasture over the barn because there is more room in the _ for the horse to stretch.,pasture,barn,1,-1
3VADEH0UHEBO0KQ4TFLWZC3DGTESPT-1,He found he had baking powder for the cake but borrowed baking soda from his neighbor since the _ was empty.,soda,powder,1,-1
32TZXEA1ONY2H75RICEO0D59YXA14V-1,The disease was very contagious. His clothes and homes had to be burned. The _ were huge.,homes,clothes,1,-1
30QQTY5GMKI0F2F120AFMT67BR6U7W-1,Dina fed her children yogurt instead of ice cream because she thought that the _ was healthy.,yogurt,ice cream,1,-1
3EGKVCRQFY6JSC139GVKMEMPGCSBY6-1,Carrie needed to be vigilant about her bone health which Natalie worries about since _ is elderly.,Carrie,Natalie,1,-1
3FBEFUUYRK3XWTNYDLOWGEUH9FIA6T-1,The cook wanted to store the fresh honey in the jar but the _ was too small.,jar,honey,1,0
3QHITW7OYO7Q6B6ISU2UMJB89HPAQN-1,The ants flocked to the honey instead of the dark chocolate because the _ is sweet.,honey,chocolate,1,-1
3SBNLSTU6U3XIAALZ0C93DVIU4CDZK-1,Rachel knew Elena needed more magnesium but _ didn't know if they hated fruit or not.,Rachel,Elena,1,-1
3NI0WFPPIBUGP5ON5H33J66CON760U-1,The candy jar could hold 100 gumballs or 80 maltballs because the _ were smaller.,gumballs,maltballs,1,-1
311HQEI8RSEH119B8N9N3LLMDEW7ZJ-1,Ian has a nice smile but not so much with Eric as _ values good dental health.,Ian,Eric,1,0
3B623HUYJ4OO03SGN07LLSKEW2M8SJ-1,In the winters Angela always ate soup unlike Rachel because _ lived in a cold area.,Angela,Rachel,1,-1
3MWOYZD5WX29Z7MY6JRVBIOGHH3NO4-1,"At dinner, Steven was starving but Ian was already full, so _ ate the pizza quickly.",Steven,Ian,1,-1
3Z8UJEJOCZBKURQB2DCYDG7DONE39A-1,Tanya loved the flavor of thyme in food but Katrina did not. _ grew some thyme on their window sill.,Tanya,Katrina,1,-1
3OPLMF3EU711TMJ1TRB3J1KNND6NL0-1,Eric wanted to add lots of ginger to the meal but Hunter stopped him. _ liked spicy food.,Eric,Hunter,1,-1
37SDSEDINBG308STUF41HPLE02H81M-1,Mike went to serve Michelle some beans from the pot onto the plate couldn't put many because the _ was too small.,plate,pot,1,-1
3W1K7D6QSDVJX2B852X30LVQKV1BZC-1,The woman cooked the casserole for 30 minutes longer than the pizza because the _ was frozen.,casserole,pizza,1,-1
3MGHRFQY2N3I8PYTB0YV2XQ6P3A0YE-1,The served coffee in the old cups rather than the new glass mugs because the _ were not washed.,mugs,cups,1,-1
3X52SWXE0ZJYDCY98F9RC17RMJUCW4-1,The hair held together by a clip dropped into the fire but only the hair got burned. The _ is flammable.,hair,clip,1,-1
3G9UA71JVX86VB3EAZI17PL4ISN7JX-1,"The oil spilled on Nick 's shirt while he cooked for Justin, so _ asked him for a clean shirt.",Nick,Justin,1,-1
3HYV4299H0UNQKNYM5NGWBGZVA78EA-1,"In an effort to eat healthy, Craig attempted to get Adam on board when _ got rid of the unhealthy stuff in the house and replaced it with cactus juice.",Craig,Adam,1,-1
3FI30CQHVMXH9SRX3X0S3N2VFOXB68-1,Erin was a better cook than Lindsey because _ had taken cooking classes for years.,Erin,Lindsey,1,-1
33P2GD6NRNQJ5VG1LVSP7JM3N6WHKM-1,Mary preferred to grill her vegetables in the patio instead of cooking them on the stove in the kitchen because it was too cold out to use the _ .,grill,stove,1,-1
3ACRLU860NC6SIL5PH7QND603HYBEK-1,Elena was skinnier than Lindsey because _ liked to eat a lot of cabbage and vegetables.,Elena,Lindsey,1,1
3WA2XVDZEMF0M64ATQQICXK8PIC6EN-1,"The vegetarian meal seemed very unappealing to Monica although Tanya loved it, because _ was a carnivore.",Monica,Tanya,1,-1
3FULMHZ7OUVKJ7S9R0LMS75373E4MV-1,The mother wanted to serve the food at the dinner but the _ was too cold.,food,dinner,1,0
3GONHBMNHVW0M4GYCTBCM3IC80DMZP-1,Jeremy was trying to sleep so John ate an orange instead of the almond he really wanted since eating the _ was quiet.,orange,almond,1,-1
3IH9TRB0FDDWPE4631GSUEFS4DJI1W-1,The vegetable wasn't cooking fast enough in the water with fire because the _ was too much.,water,fire,1,-1
3HRWUH63QU08X8H9H6JWAE0H7DD5N2-1,Brian is able to eat a lot more butter in their diet than Jeffrey because _ isn't on a diet.,Brian,Jeffrey,1,-1
371Q3BEXDJNIEOSAGOJYQA5QOKDZST-1,"Even though Christine lost more weight than Jessica, _ still ate more sweets overall despite this.",Christine,Jessica,1,1
3W5PY7V3URLPAVZFX881K251M7JJYT-1,Erin has to watch everything that she eats due to being pregnant compared to Cynthia because _ is hopeful for a baby.,Erin,Cynthia,1,-1
3UEDKCTP9VOMC6AP8M6DG6X993R7K1-1,The line cook added pumpkin seeds and tomatoes to the salad before serving it; the _ were red.,tomatoes,seeds,1,0
3BFF0DJK8ZQMSCJBAWUG4M4A5XQTSS-1,"The cook could safely touch the pot, but had to wait on the pan, because the _ was cold.",pot,pan,1,-1
3CO05SML7V3UHZN0D7U12390R1KR0I-1,The mental health of Brian is much better than William's because _ sees a therapist.,Brian,William,1,0
3D5G8J4N5A2NQF18KTNLNB089IUVTR-1,"The horse ran up to Rebecca but past Christine, because _ had sugar cubes in their pocket.",Rebecca,Christine,1,-1
356ZPKYPUJVLW62DSLDLHYRDV40YPF-1,"Because Donald liked cinnamon rolls but Neil loved them, _ ate cinnamon rolls for breakfast occasionally.",Donald,Neil,1,-1
3NQUW096N661AVG08JGY921UO94L95-1,Lindsey gave the container of sugar to Megan because _ had been on a diet.,Lindsey,Megan,1,-1
37OPIVELUWHSN76MT2R0537F69GHAM-1,"Billy knew his LEGO snake was hungry, but didn't know if it would eat the rat, because the _ wasn't alive.",snake,rat,1,-1
3QI9WAYOGSPGQE8ZEJMNTCCVJ17S6S-1,The steak cooked faster than the roast did because the _ was a thinner piece of meat.,steak,roast,1,-1
3PEG1BH7AEP9EIDFL3ITL8J5N93BK3-1,Christine got a better rating on their restaurant's health inspection than Betty because _ kept the place clean .,Christine,Betty,1,-1
3XT3KXP24ZWC2B6WP9G9XCI0HARI6E-1,Cynthia used a blender to make vegetable smoothies but Amy did not as _ was very healthy.,Cynthia,Amy,1,-1
371Q3BEXDJNIEOSAGOJYQA5RPQ9ZS4-1,Jane decided to eat a salad instead of a sandwich because the _ had less calories and she was trying to diet.,salad,sandwich,1,1
3S8APUMBJZXDSLK84Q3WXTF9AXIFBL-1,"He was eager to eat the soup, but didn't want the sandwich, because he thought the _ was gross.",sandwich,soup,1,0
3MYASTQBG9P3Y781W25W4I7MIZ9QDT-1,"His legs got stronger from pulling the sled instead of pushing the block, although _ was lighter in weight.",sled,block,1,-1
3WJGKMRWVKNZ46YIRK41KDI6G52DCF-1,The grill was hot enough to cook the meat but too hot for the corn. The _ would burn too quickly.,corn,meat,1,-1
3VADEH0UHCV96VRX9H9W7EF4LDJPSJ-1,Brian was overweight but Nick wasn't overweight because _ ate a large amount of calories.,Brian,Nick,1,-1
3UQ1LLR26A6FFEQ50PUY5XCEZCZLA8-1,Ben needed to stretch his knuckles and legs. He found the _ easier because they were numerous.,knuckles,legs,1,-1
3O71U79SRBN3LSUKH1H4QAL9LPYSMJ-1,"You can use both flour and cornstarch to thicken soups, but the _ is a more common kitchen ingredient.",flour,cornstarch,1,-1
3QX22DUVOQVY79AVVUY9TVTO85GMV1-1,"John used the microwave to prepare the potatoes, but not the beans, since the _ were best eaten hot .",potatoes,beans,1,-1
3RZS0FBRWMO8T318WTVWK7ZUSGIPCY-1,"William was hungry and needed to eat Leslie owns a dinner just a couple of blocks from where he works, _ is hungry.",William,Leslie,1,-1
3CZH926SICCM7J0WA2X3FZ0UTPH4E7-1,Randy cooked noodles for a recipe and Michael did not because _ was making lasagna.,Randy,Michael,1,0
33K3E8REWY9BQ9DM18P8CYPE4PI8XD-1,"There was more chocolate in the cake than in the pie, so the _ was sweeter.",cake,pie,1,-1
362E9TQF2HOEZ4V21MPV93VPG5IIG7-1,Ian enjoys eating almonds and Derrick hates it as _ has strong teeth to bite them.,Ian,Derrick,1,0
3W31J70BAUA7IC4SJ1QOOQDWZCLCK8-1,"The lost dog wanted food and water although there was a stream with _ , the dog ran past it.",water,food,1,-1
3NRZ1LDP7W4677DB493437C7D81ZPH-1,Patricia is a sous chef and Laura does not like to cook so _ does all the the cooking in the house.,Patricia,Laura,1,-1
34KYK9TV2R6721QNQCRVCUAF9MHBSS-1,The line cook at the restaurant added tomatoes and croutons to the salads; the _ were red.,tomatoes,croutons,1,-1
33IXYHIZB5GC45L96OEFMK3WEQTE2S-1,In the village the healer created natural remedies and used berries but not herbs because the _ were healthy.,berries,herbs,1,1
39AYGO6AFHYJA1GU6N51UI2QXN56N9-1,The acorn that I ate for a snack chipped my tooth because the _ was hard.,acorn,tooth,1,0
3HUR21WDDUNBBQ5XUEB2JDP84UPYXP-1,"Going vegan was more difficult for Logan than Michael, because _ was raised on eating lots of meat.",Logan,Michael,1,-1
3ZQA3IO31D56L0F91WTXEBBEGQMO19-1,"Laura's mouth is filled with cavities, but Felicia has none. This is due to _ loving candy.",Laura,Felicia,1,-1
3VQTAXTYN3JNHEIRFHMVRVS3UM1BUD-1,"Cynthia skipped breakfast but Angela ate a large morning meal, so _ was starving by lunchtime.",Cynthia,Angela,1,0
3X55NP42EOE5ME6IJ28VZ67STTNP3M-1,Eating healthy was possible for Christine but not Monica because _ had access to fresh food.,Christine,Monica,1,-1
3BC9H1KCYUAWMQ07K9FGHUB1VR4WYD-1,After hearing about the good reviews Jeffrey went to Robert for a wedding cake because _ was engaged.,Jeffrey,Robert,1,0
33W1NHWFYHJ4ZZ6ILQCO8HD4XT0TZP-1,"Laura served Patricia a grilled salmon filet with lemon and dill and a side of asparagus, because _ was a chef.",Laura,Patricia,1,-1
3JYPJ2TAYKMFWFLINVLXSDKYQZIPFW-1,"They wanted more satiation at the wedding, so the planners used icing rather than fruit on the cake as the _ was more filling.",icing,fruit,1,-1
3FDWKV9VCPGYUULVQ4O4X9R6WN5MUS-1,"Jeffrey has to take insulin for their diabetes, but Joel doesn't have that problem. That's because _ excessively eats sugar.",Jeffrey,Joel,1,-1
3VZYA8PITOW5CCP2G0HYZ244ZK205M-1,The fingernails of Steven grow faster than those of Randy because _ eats a lot more food.,Steven,Randy,1,-1
3DZKABX2ZI364YZXY7SVY104QB3CVX-1,"The carrots burned on the grill, but the tomatoes were okay, because the _ were wetter.",tomatoes,carrots,1,-1
3PA41K45VN2NNX75LEBLCNJ83EU7P1-1,His parents hated that Ben loved cakes and apples. He decided to cut the _ from his diet to be healthy.,cakes,apples,1,1
3TC2K6WK9G0VV4BITLSFUA7A3MP82F-1,The bandage he bought to cover the burn could not fit because the _ was too big.,burn,bandage,1,-1
3RZS0FBRWK8TZE21CVJWS9BM4PLCPZ-1,"She was able to finish the stew, but threw away the rice, because the _ had been cooked incorrectly.",rice,stew,1,-1
3538U0YQ1H88PQGVPXOQFAHXL7X3FD-1,Jake ate the cake instead of the pie because there was more sugar in the _ .,pie,cake,1,-1
3KI0JD2ZU3WU7GO7QGOCYLGZWY667H-1,"Since Craig's dog was sick and in need of a veterinarian while Kevin's was healthy and energetic, _ took their dog to the animal hospital.",Craig,Kevin,1,-1
3FTID4TN8NCV5LNF0TKE0HITQS4LY5-1,Kyle was rarely in the kitchen while Hunter constantly was because _ hated to cook.,Kyle,Hunter,1,0
36FFXPMST9M2VM1GJNKIE03C7D6OHH-1,"Neil brought peanuts to the party but Justin brought balloons, _ was unaware of food allergies.",Neil,Justin,1,-1
3X52SWXE0ZJYDCY98F9RC17RM8DWCL-1,It took the food ten additional minutes to cook over the flame because the _ is too much.,food,flame,1,-1
3RDTX9JRT0FHPZQ5ONROIV72N7I79G-1,"To increase his libido, Joe tried to get a gym membership and tried to eat vegan food but the _ was not enough.",food,membership,1,-1
3P458N04Q3V04UBXLRG727CCJWD2X8-1,The microwave cooked the soup much more faster than the stove because the _ was more powerful.,microwave,stove,1,0
3CMV9YRYP5F5AWSGETJBQU35DSFLJ3-1,"Joel was prone to sunburn so spent much time indoors, quite the opposite of Lawrence. _ often cooked to pass the summer days.",Joel,Lawrence,1,-1
3MWOYZD5WX29Z7MY6JRVBIOHIPEONZ-1,"While changing her eating routine, Sally stopped eating chips and replaced it with fruit. The _ were crunchy.",chips,fruit,1,-1
3LEG2HW4UH1J48KCLXALW0C5GVQ2FZ-1,Lindsey gained a little weight so she gave Rebecca a few tank tops because they fit _ poorly.,Lindsey,Rebecca,1,-1
36KM3FWE3RAKZG3L4TWVXMI0V8L701-1,The dictator gained power of the other country by using tanks rather than the planes because the _ were advanced.,tanks,planes,1,-1
3ZTE0JGGCG6Q83P7HTIHV7U4ICXOCT-1,Tim decided to swap coffee with tea as he has read that tea contributes towards losing weight. The _ is the best option for losing weight.,tea,coffee,1,-1
3RKHNXPHGWUOAHMLLUZOQYBTHEPUKR-1,Gem went to get new supplies for her hamster and she found snacks and exercise balls She chose the _ because her hamster was fat.,exercise balls,snacks,1,-1
31ODACBENWT90WRJTS0LZHTMJHFQSD-1,"Christine is opening an organic store and asks if Rachel wants to work for her, because _ needs employees.",Christine,Rachel,1,-1
36BTXXLZ2V6BGN51W8H3E6ZDDT54RH-1,Jack was going to make a tuna sandwich but ended up eating a tuna salad. After burning the bread the _ was appetizing.,salad,sandwich,1,-1
3L2OEKSTWBO0QE3W64BAVCWO74EY8W-1,"When he was a toddler, my brother always picked the oranges out of fruit salad an only ate the strawberries since the _ were sour.",oranges,strawberries,1,-1
3N2YPY1GI8C0VLIIEWAQGNOFZH8EVF-1,"The dog food outweighed the drink, hence James decided to add more drink because the _ is heavier.",food,drink,1,-1
3EHVO81VN7ZWTJTMXJY7U2EC2FB1HJ-1,"I cannot stand broccoli, so my wife tried frying it.  I liked it better crispy than soggy, so I ate the _ broccoli.",crispy,soggy,1,0
36U4VBVNQQRPRAYNVCKLJ8LF0ZOURI-1,Callie went on a liquid diet through a tube but was in pain because the _ is painful.,tube,diet,1,-1
30Y6N4AHYPUOGJOUPJIWHATJQ8LRD8-1,"Eric always made rice with chicken, but Neil was bored of the same dish. _ decided not to cook anymore.",Eric,Neil,1,-1
3BAKUKE49HAUOO8I9QY1G8SAWRY1RZ-1,"Neil went online to receive his ordainment before Steven got married, because _ served as an officiant.",Neil,Steven,1,0
3E9VAUV7BYSE92WB32VOR32IWKPAY4-1,Adam followed the instructions for eating after getting wisdom teeth removed from Steven because _ was his patient.,Adam,Steven,1,-1
3P458N04Q1FLA5CQ1T47A9O3UWKX20-1,To prepare for the meal the chef only cooked the meat and not the vegetable because the _ was raw.,meat,vegetable,1,-1
3VGET1QSZ0XD7646X0PG4HR4RR5W7K-1,"Samantha was worried about Angela's health, so _ told them to start taking more vitamins.",Samantha,Angela,1,-1
3TL87MO8CMNAB57DB5GQJYN5RBKLFQ-1,"Robert couldn't wait for the pear tree to grow fruit, though Jeffrey was less excited. _ always liked pears.",Robert,Jeffrey,1,0
36FFXPMSTB2HPB0N3LWI6YRKVF7HOM-1,Kayla didn't put a pumpkin and candy on their porch like Patricia did because _ doesn't celebrate Halloween.,Kayla,Patricia,1,-1
3D1TUISJWKECYBV45PQC5GKOD4WUI7-1,"At the park, Rachel wanted to feed the birds with bird food. Samantha said this was a waste of money. _ was sad they wouldn't feed the birds.",Rachel,Samantha,1,-1
3S8A4GJRD5HWI6P38ERS4ZW3KPTV60-1,"The elastic band could stretch between the chairs but not around the beds, as the _ were close to each other.",chairs,beds,1,-1
3OJX0UFJ0Z54TL3UHX8Z0PXD6JI9UF-1,"Paul served the chocolate milk in a glass instead of the plastic cup, because the _ was cracked.",cup,glass,1,-1
3KTCJ4SCVGZ3R8VQ4I2KU9Y0VMMM1O-1,"She put mustard on the sandwiches, but not on the fries, because she thought the _ had been served bland.",sandwiches,fries,1,-1
33Q5P9PUSPKNDI47Z4HYJ7D0ENEZCR-1,Amy went to a buffet. She couldn't finish eating the eggs but could eat all the tomatoes because there was a minuscule amount of the _ on her plate.,tomatoes,eggs,1,-1
3WGCNLZJKF60NEPDRP3HBJB6HT61DY-1,"The body of Dennis looks a lot slimmer than that of Steven, due to _ being on a diet.",Dennis,Steven,1,1
3D4BBDG7ZJA1MEWLYVYP74WTNL2C3N-1,"Jennifer needed produce, so she went to the market and she chose the broccoli instead of the lettuce because the _ looked fresh.",broccoli,lettuce,1,0
3S829FDFT4FN749DIG0OYQ3GGAWDXW-1,"David finished his pasta while Mark couldn't finish his lasagna, because the _ portion was smaller.",pasta,lasagna,1,-1
3JTPR5MTZSA7P2W6KTRGIMJDIZ5K5C-1,Robert ate lightly compared to Michael because _ was a model preparing for the fashion show.,Robert,Michael,1,1
3D17ECOUOET25MNGY0X5YAPUQEG31X-1,Hunter happens to be more emotionally independent than Adam because _ is in a healthy relationship.,Hunter,Adam,1,-1
3KVQ0UJWPZZDERPUT5MJYV1GTY25W8-1,"Joel didn't realize that Brian wasn't allowed to eat pork for religious reasons, so _ cooked a pork chop for dinner.",Joel,Brian,1,0
3X7837UUAFCNRBP9RPD91BL8NX46JU-1,"While Derrick ate worse than Dennis generally, _ did like the taste of pears a bit more.",Derrick,Dennis,1,-1
3D06DR5227XEFL7XKZ7DX8FBNABAME-1,At dinner Felicia decided to pay for Elena's meal because _ had received a large bonus today.,Felicia,Elena,1,-1
35F6NGNVMAX09EZJMTW59V8DGA17TL-1,Kevin hated sweets but Kyle loved them which made _ irritated to receive a large birthday cake.,Kevin,Kyle,1,0
3INZSNUD824X68RFF0UAINHX8DO9D1-1,Jack burned himself  on the shelf while eating one cookie straight from the oven because the _ was good.,cookie,oven,1,-1
307FVKVSYTTGSTKT7SVX1NWM1JA47V-1,James realized he could eat more of the apple unlike the banana because the _ is small.,apple,banana,1,0
360ZO6N6J1HLGDYL8VHD9FGJTYUM9H-1,Kim could eat bread with butter or jam. She chose the _ because it was salty.,butter,jam,1,-1
3X878VYTIGWQQ9HIR9RGSRTDRBBF7R-1,Every morning Christopher ate scones for breakfast while Justin ate yogurt since _ was unhealthy.,Christopher,Justin,1,1
3MA5N0ATTC912LBQGUEP8MWQXG9KWS-1,Brett did not watch their salt intake like Neil because _ was not on a restricted diet.,Brett,Neil,1,1
31ODACBENWT90WRJTS0LZHTMJDVQSL-1,"While Victoria preferred fruits, Felicia preferred to eat vegetables because _ liked foods that were naturally sweet.",Victoria,Felicia,1,0
37G6BXQPLQJTWONU8Z4GI21ZUYWEQZ-1,Adam got full when eating dinner with Leslie on Sundays because _ had a very small stomach.,Adam,Leslie,1,-1
3ZCC2DXSD720BVV7ZAX42RWHBIDYYU-1,"Mark told Jason never to put his plants in copper containers, but to use clay pots instead because the _ was healthy.",clay,copper,1,-1
3CESM1J3EKH9XVP8YOWOQ1FGPTZW61-1,"Brett's beta fish ate Matthew's goldfish when they put them in the same tank, and _ felt just awful about it.",Brett,Matthew,1,0
3VEI3XUCZTBCZ5QREQLR92YGS4ERP9-1,The dog was less healthy than the cat because the _ got much more exercise.,cat,dog,1,-1
3YOAVL4CA0FKIERS6PBG091CHSQZ42-1,"Joseph went to Matthew office for a a exam and was informed they were not in good health, bad news is something _ hated to hear.",Joseph,Matthew,1,-1
304QEQWKZPIRKMVKLFDX884VGHVO07-1,The reason that Jason ate quickly while William did not eat another bite was because _ was hungry.,Jason,William,1,-1
3KL228NDMX0KZOKXLNM7EHYAWK5GK7-1,"Maria treats and teaches people like Carrie about the value of good health, _ is a doctor.",Maria,Carrie,1,-1
3QHITW7OYO7Q6B6ISU2UMJB89IUAQU-1,"The cook added a bunch of salt from the bottle to the pan, so the _ was lighter.",bottle,pan,1,-1
3I6NF2WGIIAHH5ZUE0I1CSFSZ41G5X-1,The kid ate in the chair instead of at the table because the _ was farther from the ground.,table,chair,1,-1
3R5LWXWHR06BPZKX08PWCDI44EBGXM-1,The cook was making salad and needed more oil and not more vinegar because the _ was depleted.,oil,vinegar,1,-1
3PR3LXCWSHDB4EWW60VMCUKPOVZX9Q-1,"Since she was on a diet, the woman ate the salad with no dressing since the _ was low in calories.",salad,dressing,1,-1
302OLP89DZ5MCAWZNC1Z2EMR0OXCAW-1,"Elena gave Samantha a scrapbook for their birthday, later on _ gave them a cake too.",Elena,Samantha,1,-1
3WGZLY9VCHKIYE9YQACWQTYEVUL8DO-1,"Steven made sure to eat dinner, but Derrick didn't have time, so as a result _ got drunk at the party.",Steven,Derrick,1,-1
3UQVX1UPFUVS745MIFR0TTP08JI02M-1,Aaron ate cheap while he was in college while Adam spend all his money eating at restaurants. _ saved so much money during college.,Aaron,Adam,1,-1
3SX4X51T807NLZT2DHAQXEG8UHCAOM-1,"The barista recommended adding sugar or honey, but Ben stated to add the _ due to the naturalness.",honey,sugar,1,-1
3DIIW4IV8PTYNO2I6LNU0EYMQZ94I4-1,"Angela ate their vegetables and exercised, while Megan ate fried food and watched TV, _ had better stamina.",Angela,Megan,1,1
3RHLQY6EDVIW92L3Y5YJ1F6INSX4D4-1,"Concerned the food would cause stains, the woman put an apron over her shirt, because the _ was disposable.",apron,shirt,1,-1
3SX4X51T82N2FOS9XFMQPC4GI66AO1-1,"The mall was closer to Lawrence than Dennis, so _ always went shopping and eating out there.",Lawrence,Dennis,1,0
3Z56AA6EK4YYYUWNAOE1P5PH3XMM66-1,There was less corn than beans left because the hogs loved eating the _ .,corn,beans,1,-1
3KTZHH2ONKT0WXEIN1NZ1H9GXMP8MM-1,Jason was a more adventerous eater than Nick but _ hated to eat quail eggs.,Jason,Nick,1,-1
3VCK0Q0PO5C921V8K0DKTJ4QVI8N00-1,The artist finished her painting before the cook finished her tart because the _ was slow to complete.,tart,painting,1,-1
3G3AJKPCXLQKDOHNA39XM2SABYN4YH-1,"Rebecca was aware Tanya had been diagnosed with diabetes, so _ did not offer her cake.",Rebecca,Tanya,1,-1
3909MD9T21VBZOWSEH5MY1LTBYOFEI-1,Robert got up early in order to prepare fresh meat for his loyal customer Brian because _ was a butcher.,Robert,Brian,1,0
3EHIMLB7F7XZAUE0C6VMHEDCNR58HY-1,"Monica told Katrina she needed to soften the frosting before putting it on the cake, and _ suggested to use cream to do so.",Monica,Katrina,1,-1
367O8HRHKIM2BR4LVVT8WESHNPB4SN-1,Sarah always wiped down their kitchen counter after every meal but Betty let them go. _ never had problems with ants in the kitchen.,Sarah,Betty,1,0
3P458N04Q1FLA5CQ1T47A9O3PIU2XI-1,"Benjamin liked to eat citrus fruits in the summer but Lawrence does not like them, so _ bought some citric fruit from the store.",Benjamin,Lawrence,1,-1
36U4VBVNQOBAXLZGBE8LRAX77NORUF-1,Kevin felt much worse than Robert after the party because _ had eaten a lot more of the food.,Kevin,Robert,1,-1
39TX062QX1MAVN895TICTJTVVVW3XU-1,Leslie loves cooking and eating jackfruit tacos more than Kenneth because _ is a vegetarian.,Leslie,Kenneth,1,-1
3X2YVV51PU2ZWKP48K87370RTNMW19-1,By using a knife and a board he was able to do a great job cutting all the food.  The _ was nonslip.,board,knife,1,-1
3IV1AEQ4DRBV109Q06Y7TRTR0H8J89-1,Matthew saw the chef sneeze into the food but Nelson didn't care that it was contaminated. _ had always been obsessive about food hygiene.,Matthew,Nelson,1,-1
309D674SH1Z6P90YDODVPNU6DN5BCR-1,"To avoid revealing her pregnancy, the teen chose to wear the tunic rather than the blouse, because she thought the _ would make her look fat.",blouse,tunic,1,-1
